식품코드,YOLO_CLASS,식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량,제조사명
P108-009000400-0216,paldo_bibim,팔도비빔면,100g,404,10.5,6.92,14.62,61.54,9.23,2.4,13,0.55,86,175,838,50,0,0,6.92,0,130g,(주)팔도 나주공장
P108-004000400-0099,jjajjaroni,짜짜로니,100g,386,14.2,8.57,10.71,63.57,5,1.8,19,0.88,90,206,843,0,0.64,0,5,0,140g,삼양식품(주)
P108-004000400-0097,chasullen,짜슐랭,100g,414,7.6,8.28,12.41,68.97,4.14,2.2,97,0.94,155,205,759,0,0.73,0,5.52,0,145g,오뚜기라면 주식회사
P108-003000400-0993,jin_mild,진라면(순한맛),100g,417,6.9,10,13.33,64.17,3.33,1.2,147,0.66,115,137,1483,12,1.52,0,6.67,0,120g,오뚜기라면 주식회사
P108-004000400-0095,chapagetti,올리브짜파게티,100g,436,6,7.86,14.29,68.57,5,2.3,153,0.88,90,171,786,0,1.09,2.5,5.71,0,140g,(주)농심
P108-003000400-0984,chamkkae_ramen,오뚜기 참깨라면,100g,468,4.3,9.09,20,62.73,3.64,1.8,137,0.76,106,203,1445,38,0.75,13.64,8.18,0,110g,오뚜기라면 주식회사
P108-003000400-0979,anseong_ramen,안성탕면,100g,420,5.5,8.8,13.6,65.6,2.4,3,163,0.79,112,203,1432,11,0,0,7.2,0,125g,(주)농심
P108-003000400-0970,shin_ramen,신라면,100g,417,6.4,8.33,13.33,65.83,3.33,0.5,130,0.42,99,253,1492,24,0.89,0,6.67,0,120g,(주)농심
P108-003000400-0965,samyang_ramen,삼양라면,100g,429,4.2,8.33,14.17,67.5,2.5,0.4,23,0.63,92,236,1483,24,2.65,0,5.83,0,120g,삼양식품(주)
P108-009000400-0207,baehongdong,배홍동비빔면,100g,427,12.1,6.57,17.52,60.58,13.14,0.1,17,0.53,76,142,985,45,0,2.55,8.03,0,137g,(주)농심
